level,term,repeat,ok,expected_n,selected_n,tp,recall,precision,confidence,completion_tokens,prompt_tokens,total_tokens,reasoning_tokens,wall_ms,text_len,selected_ids,error,wire_reasoning_effort
None,intersection,1,1,4,4,4,1.0000,1.0000,95,121,663,784,0,1518,382,T20200020837 T20190026336 T20190023360 T20140024624,,none
None,intersection,2,1,4,4,4,1.0000,1.0000,95,121,663,784,0,1357,382,T20200020837 T20190026336 T20190023360 T20140024624,,none
None,intersection,3,1,4,4,4,1.0000,1.0000,95,121,663,784,0,1346,382,T20200020837 T20190026336 T20190023360 T20140024624,,none
None,rear,1,1,5,5,5,1.0000,1.0000,98,130,798,928,0,2025,360,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,none
None,rear,2,1,5,5,5,1.0000,1.0000,98,130,798,928,0,1469,360,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,none
None,rear,3,1,5,5,5,1.0000,1.0000,98,130,798,928,0,1441,360,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,none
None,overturned,1,1,3,3,3,1.0000,1.0000,95,93,535,628,0,1433,269,T20240003419 T20210014188 T20200006584,,none
None,overturned,2,1,3,3,3,1.0000,1.0000,95,93,535,628,0,1048,269,T20240003419 T20210014188 T20200006584,,none
None,overturned,3,1,3,3,3,1.0000,1.0000,95,93,535,628,0,1048,269,T20240003419 T20210014188 T20200006584,,none
Low,intersection,1,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5359,311,T20200020837 T20190026336 T20190023360 T20140024624,,low
Low,intersection,2,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5448,311,T20200020837 T20190026336 T20190023360 T20140024624,,low
Low,intersection,3,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5381,311,T20200020837 T20190026336 T20190023360 T20140024624,,low
Low,rear,1,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4137,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,low
Low,rear,2,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4079,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,low
Low,rear,3,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4141,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,low
Low,overturned,1,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5235,273,T20240003419 T20210014188 T20200006584,,low
Low,overturned,2,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5260,273,T20240003419 T20210014188 T20200006584,,low
Low,overturned,3,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5189,273,T20240003419 T20210014188 T20200006584,,low
Medium,intersection,1,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5494,311,T20200020837 T20190026336 T20190023360 T20140024624,,medium
Medium,intersection,2,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5491,311,T20200020837 T20190026336 T20190023360 T20140024624,,medium
Medium,intersection,3,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5598,311,T20200020837 T20190026336 T20190023360 T20140024624,,medium
Medium,rear,1,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4232,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,medium
Medium,rear,2,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4300,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,medium
Medium,rear,3,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4210,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,medium
Medium,overturned,1,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5281,273,T20240003419 T20210014188 T20200006584,,medium
Medium,overturned,2,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5196,273,T20240003419 T20210014188 T20200006584,,medium
Medium,overturned,3,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5246,273,T20240003419 T20210014188 T20200006584,,medium
High,intersection,1,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5465,311,T20200020837 T20190026336 T20190023360 T20140024624,,high
High,intersection,2,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5601,311,T20200020837 T20190026336 T20190023360 T20140024624,,high
High,intersection,3,1,4,4,4,1.0000,1.0000,95,478,663,1141,365,5511,311,T20200020837 T20190026336 T20190023360 T20140024624,,high
High,rear,1,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4302,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,high
High,rear,2,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4271,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,high
High,rear,3,1,5,5,5,1.0000,1.0000,95,366,798,1164,225,4309,377,T20240010964 T20220027195 T20180002645 T20160004858 T20140017524,,high
High,overturned,1,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5255,273,T20240003419 T20210014188 T20200006584,,high
High,overturned,2,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5284,273,T20240003419 T20210014188 T20200006584,,high
High,overturned,3,1,3,3,3,1.0000,1.0000,95,457,535,992,356,5403,273,T20240003419 T20210014188 T20200006584,,high
